,CS Schools,City,School,Class,Gender,Grade,Math_selfefficacy,Tablets_utility,CS_utility,Tablets_selfefficacy,Robots_interest,Tablets_interest,CS_selfefficacy,General_selfefficacy,Robots_utility,Robots_selfefficacy,CS_interest,Sport_selfefficacy,French_selfefficacy,Who_Teacher,Who_Mom,Who_Dad,Who_Student,Who_Other,Who_Nobody,General_selfefficacy,French_selfefficacy,Sport_selfefficacy,Math_selfefficacy
29,1,1,School_1,Class_2,Boy,3,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0,1,1,1,0,0,2.0,2.0,2.0,2.0
30,1,1,School_1,Class_3,Girl,3,2.0,2.0,1.0,2.0,1.0,2.0,0.0,2.0,2.0,-2.0,2.0,1.0,2.0,1,0,0,0,1,0,2.0,2.0,1.0,2.0
31,1,1,School_1,Class_3,Girl,3,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,1,1,1,1,1,0,1.0,2.0,2.0,2.0
32,1,1,School_1,Class_3,Girl,3,1.0,-1.0,2.0,2.0,2.0,-1.0,2.0,1.0,2.0,1.0,0.0,2.0,1.0,1,1,1,1,0,0,1.0,1.0,2.0,1.0
33,1,1,School_1,Class_3,Boy,3,0.0,2.0,2.0,2.0,2.0,2.0,0.0,-1.0,2.0,2.0,1.0,2.0,1.0,0,0,1,0,0,0,-1.0,1.0,2.0,0.0
34,1,1,School_1,Class_3,Boy,3,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,-2.0,2.0,2.0,2.0,1,0,0,0,0,0,2.0,2.0,2.0,1.0
35,1,1,School_1,Class_3,Girl,3,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1,1,0,0,0,0,2.0,2.0,2.0,2.0
36,1,1,School_1,Class_3,Boy,3,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,1,0,0,0,1,0,1.0,1.0,2.0,2.0
37,1,1,School_1,Class_3,Girl,3,2.0,2.0,1.0,2.0,-1.0,2.0,0.0,2.0,1.0,2.0,2.0,1.0,2.0,1,1,1,0,0,0,2.0,2.0,1.0,2.0
38,1,1,School_1,Class_3,Girl,3,2.0,1.0,2.0,2.0,0.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,0,0,0,0,0,1,2.0,2.0,2.0,2.0
39,1,1,School_1,Class_3,Boy,3,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0,1,1,0,0,0,2.0,2.0,2.0,2.0
40,1,1,School_1,Class_3,Girl,3,2.0,2.0,1.0,2.0,-1.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,0,0,1,0,0,1,2.0,2.0,1.0,2.0
41,1,1,School_1,Class_3,Boy,3,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1,1,0,1,1,0,2.0,2.0,2.0,2.0
42,1,1,School_1,Class_3,Boy,3,2.0,0.0,2.0,2.0,2.0,0.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,0,1,1,1,0,0,0.0,2.0,2.0,2.0
43,1,1,School_1,Class_3,Boy,3,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,0,0,1,0,0,0,2.0,2.0,2.0,2.0
44,1,1,School_1,Class_3,Boy,3,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,1.0,1,1,1,0,0,0,2.0,1.0,2.0,2.0
45,1,1,School_1,Class_3,Boy,3,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,0,0,0,0,0,1,2.0,1.0,2.0,2.0
