School Name,BRIN
Basissch Den Omgang,05JE
Basissch Maria,03PW
Basissch Sint Agnes,03PK
Basissch St Aloysius,17XV
Basissch St Jozef,04JV
Basissch Twa Yn Ien,12MZ
Basissch Willibrordus,11NE
Basisschool  de Verbinding,05RK
Basisschool  Sterrenrijk,08KT
"Basisschool ""De Maasparel""",00AR
"Basisschool ""Kla4""",18HI
Basisschool 't Ambyld,15GH
Basisschool 't Bossche Hart,03KI
Basisschool 't Breerke,17WZ
Basisschool 't Busseltje,07FM
Basisschool 't Groenland,08BY
Basisschool 't Heuvelke,09WW
Basisschool 't Holthuus,06YF
Basisschool 't Holtpad,15EV
Basisschool 't Kempke,03PV
Basisschool 't Kempken,07DK
Basisschool 't Kendelke,08RA
Basisschool 't Kirkeveldsje,12AW
Basisschool 'T Kofschip,09HY
Basisschool 't Koggeschip,05FS
Basisschool 't Kwekkeveld,13CK
Basisschool 't Maxend,03US
Basisschool 't Palet,08TV
Basisschool 't Palet,10SX
Basisschool 't Palet,15VU
Basisschool 't Prisma,11QV
Basisschool 't Prisma,12EX
Basisschool 't PuzzelsTuk voor algemeen neutraal bijzonder onderwijs,30JZ
Basisschool 't Ravelijn,18HS
Basisschool 't Schrijverke,21MY
Basisschool 't Span,12ER
Basisschool 't Startblok,17TQ
Basisschool 't Stekske,06UL
Basisschool 't Swannestee,16CZ
Basisschool 'T Valder,20TN
Basisschool 't Ven,25GK
Basisschool 't Ven,08MV
Basisschool 't Vossenhol,09LN
Basisschool 't Wikveld,07UF
Basisschool `t Carillon,10WN
Basisschool Aan de Bron,05JY
Basisschool Aboe El-Chayr,24PV
Basisschool Abt Emo,18IZ
Basisschool Agatha Snellen,07KN
Basisschool Akkerwinde,06XB
Basisschool Al Maes,23HR
Basisschool Albert Schweitzer,03QS
Basisschool Alfons Ariens,09MF
Basisschool Alfonsus,19NB
Basisschool Aloysius,15CP
Basisschool Amby,04IP
Basisschool Amerfoortse School Vereniging,04KD
Basisschool An d r Put,08RD
Basisschool And're wijze,05GE
Basisschool Andersenschool,24ZC
Basisschool Andreashof,20DV
Basisschool Anloo,11AK
Basisschool Anne de Vries,08VI
Basisschool Anne Frank,16VU
Basisschool Anne Frank,17ER
Basisschool Anne Frank,07FY
Basisschool Anne Frank,18PQ
Basisschool Anne Frank 6e Montessori-School,20TX
Basisschool Annie M G Schmidt,20VP
Basisschool Antares,11PW
Basisschool Aquamarijn,07DB
Basisschool Archipel,17EU
Basisschool Armhoefse Akker,07ND
Basisschool Atalanta,18AB
Basisschool Azelo,03AN
Basisschool B,13OF
Basisschool Bastion,06YP
Basisschool Bavinck,07YO
Basisschool Beijumkorf,17EC
basisschool Beppino Sarto,17TG
Basisschool Bergmolen,09US
Basisschool Berkeloo,03MK
Basisschool Bernadette,06YQ
Basisschool Bernadette,12HC
Basisschool Bernardus,08LA
Basisschool Bijvanck,18IC
Basisschool Bilal,23UW
Basisschool Bleijerheide,06HC
Basisschool Boaz-Jachin,08RK
Basisschool Bocholtz,03PF
Basisschool Bohemen Kijkduin,17MC
Basisschool Boon,15KA
Basisschool Borg,08BO
Basisschool Bos en Duin,08QH
Basisschool BoschAkker,05LL
Basisschool Boterdorp,05MJ
Basisschool Breedeweg,08MN
Basisschool Brookschole,10TE
Basisschool Buten De Poorte,18ID
Basisschool Buurse,13EN
Basisschool C. Zeeman,12KH
Basisschool Camelot,16LF
Basisschool Canada,13BV
Basisschool Christal - school met de Bijbel,04DE
Basisschool Christoffel,08WQ
Basisschool Cleophas Jenaplan-School,05JQ
Basisschool Comenius,07LM
Basisschool Comenius,03KW
Basisschool Coninxhof,11MO
Basisschool Constantyn,14IA
Basisschool Cunera,09VP
Basisschool Cypressenhof,15SP
Basisschool D Pinksterbloem 4e Montessori-School,20TV
Basisschool De Aanloop,11XZ
Basisschool de Achtbaan,20JB
Basisschool De Achthoek,23PJ
basisschool De Achtsprong,07RV
Basisschool De Achtsprong,05IJ
Basisschool De Akker,09HH
Basisschool de Akker,14IW
Basisschool De Akker,03HE
Basisschool De Albatros,03XH
Basisschool de Aldenhove,15RK
Basisschool De Alm,10HG
Basisschool De Ammers,01XH
Basisschool De Arenberg,09LL
Basisschool De Argonaut,17AV
Basisschool De Ark,12PM
Basisschool de Ark,06LT
Basisschool de Ark,11YP
Basisschool De Ark,03JE
Basisschool De Avonturier,04IQ
Basisschool de Avonturijn,05JP
Basisschool De Beekgraaf,06MH
Basisschool De Beelen,13QL
Basisschool de Beemd,13HU
