School Name,BRIN
Christelijk College Griftland School voor Atheneum Havo en Mavo,01NZ
Christelijk College Groevenbeek,00WI
Christelijk College Nassau-Veluwe,02FB
Christelijk College Schaersvoorde voor Atheneum Havo Mavo Vbo Lwoo,00LJ
Christelijk Dalton Kindcentrum De Eshorst,10KN
Christelijk Gymnasium,16PA
Christelijk Gymnasium Beyers Naude,14WI
Christelijk Gymnasium Sorghvliet,02DQ
Christelijk Instituut Groen van Prinsterer,04OS
Christelijk Kindcentrum  Eigen-Wijs,15SZ
Christelijk Kindcentrum Bernhard,11FW
Christelijk Kindcentrum Claus,12LH
Christelijk Kindcentrum De Ark,06EL
Christelijk Kindcentrum De Borgh,04LY
Christelijk Kindcentrum de Brink,15NZ
Christelijk Kindcentrum De Buuzekaemp,04TV
Christelijk Kindcentrum De Koepel,05NP
Christelijk kindcentrum De Meander,12GN
Christelijk Kindcentrum De Schaapskooi,11CY
Christelijk kindcentrum De Schalm,04KC
Christelijk kindcentrum De Tweestroom,12PH
Christelijk kindcentrum De Twijn,08UU
Christelijk Kindcentrum De Wiedewereld,07ED
Christelijk Kindcentrum De Wijngaard,10IM
Christelijk Kindcentrum Eben Haëzer,15DQ
Christelijk Kindcentrum Gulden Bodem,03JD
Christelijk Kindcentrum Het Kompas,11VZ
Christelijk Kindcentrum Het Kompas,05TY
Christelijk Kindcentrum Het Kompas,07NW
Christelijk Kindcentrum Het Stroomdal,10IL
Christelijk Kindcentrum Ichthus,07KA
Christelijk Kindcentrum Immanuël,06YR
Christelijk kindcentrum Impuls,16EC
Christelijk Kindcentrum Johan Friso,12CF
Christelijk Kindcentrum Juliana,15VH
Christelijk Kindcentrum Menso Altingschool,05NQ
Christelijk Kindcentrum Rehoboth,14ZS
Christelijk Kindcentrum Willem Alexander,11RR
Christelijk Lyceum Delft Scholengemeenschap voor Lyceum Havo Mavo Vbo,01GX
Christelijk Lyceum Scholengemeenschap voor Mavo Havo Lyceum,02VM
Christelijk Lyceum Zandvliet voor Lyceum en Havo,14TA
Christelijk Lyceum Zeist voor VWO HAVO MAVO VMBO LWOO,02VR
Christelijk NAT Basisschool Abcoude,05MC
Christelijk Scholengemeenschap Vincent van Gogh Vwo Havo Mavo Vbo Lwoo,02EB
Christelijk Scholengemeenschap voor Atheneum Havo Mavo Vbo Lwoo,00TM
Christelijk Scholengemeenschap voor Lyceum Havo Mavo Vbo Lwoo Insula College,02CI
Christelijk Voortgezet Onderwijs Apeldoorn voor Gymn Ath Havo Mavo en Vmbo,08SG
Christelijke Basisschool,07IP
Christelijke Basisschool,03HC
Christelijke Basisschool,05NW
Christelijke basisschool  De Bron,23CH
Christelijke Basisschool 't Groeipunt,16WL
Christelijke Basisschool 'T Jok,04QN
Christelijke Basisschool 't Mollenveld,06ZL
Christelijke Basisschool 't Oegh,08UJ
Christelijke Basisschool 't Warmelinck,08BQ
Christelijke Basisschool Aasterage,08LZ
Christelijke Basisschool Adelbrecht Windekind,05ON
Christelijke Basisschool Alpha,15DY
Christelijke Basisschool Anker,05MU
Christelijke Basisschool Anna van Buren,13JX
Christelijke Basisschool Anne De Vriesschool,07OB
Christelijke Basisschool Annewieke,05SY
Christelijke Basisschool Avonturijn,15NU
Christelijke Basisschool Barlo,05LR
Christelijke Basisschool Beatrix,09CV
Christelijke Basisschool Bernewird,04JX
Christelijke Basisschool Beurthonk,10YH
Christelijke Basisschool Bij de Boarne,06NU
Christelijke Basisschool Coolsma,05NI
Christelijke Basisschool d'n Akker,04VL
Christelijke Basisschool De Akker,10GM
Christelijke Basisschool De Appelgaard,07EP
Christelijke Basisschool De Ark,09NO
Christelijke Basisschool De Ark,05AY
Christelijke Basisschool De Ark,06RZ
Christelijke Basisschool De Ark,09BR
Christelijke Basisschool De Ark,04NB
Christelijke Basisschool De Ark,17PB
Christelijke Basisschool De Ark,06WU
Christelijke Basisschool de Arke,12AV
Christelijke Basisschool De Arke,09MX
Christelijke basisschool de Bataaf,07OM
Christelijke Basisschool De Bernebrege,11XH
Christelijke Basisschool De Bining,05UL
Christelijke Basisschool de Bolster,05LP
Christelijke Basisschool de Bongerd,10NL
Christelijke Basisschool De Bonkelder,07HX
Christelijke Basisschool De Borg,05CH
Christelijke Basisschool de Borgwal,05SO
Christelijke Basisschool De Bornput,04RC
Christelijke Basisschool De Bouwsteen,07YN
Christelijke Basisschool De Brandaris,27PG
Christelijke Basisschool De Bron,10HZ
Christelijke Basisschool De Bron,06DV
Christelijke Basisschool De Bron,11CE
Christelijke Basisschool De Brug,06EI
Christelijke Basisschool De Brug,17YX
Christelijke Basisschool De Burcht,07MQ
Christelijke Basisschool De Citer,06NH
Christelijke Basisschool De Claercamp,07YK
Christelijke Basisschool De Driemaster,07FU
Christelijke basisschool de Driesprong,04UR
Christelijke Basisschool De Driester,04MA
Christelijke Basisschool de Duinroos,12PI
Christelijke Basisschool De Eker,05LZ
Christelijke Basisschool De Evenaar,09CL
Christelijke Basisschool De Fakkel,17ZG
Christelijke Basisschool de Fakkel,07CT
Christelijke Basisschool de Ferbining,05RM
Christelijke Basisschool De Fjouwerhoeke,05OV
Christelijke Basisschool De Foareker,03GT
Christelijke Basisschool De Fontein,03LC
Christelijke Basisschool De Fontein,05NN
Christelijke Basisschool De Fontein,05TO
Christelijke Basisschool De Fontein,09UG
Christelijke Basisschool De Fontein,07DZ
Christelijke Basisschool de Fontein,24DX
Christelijke Basisschool De Gearing,07LF
Christelijke Basisschool De Goudenstein,05OS
Christelijke Basisschool De Grebbe,17YE
Christelijke Basisschool de Grondtoon,11FB
Christelijke Basisschool De Grunslach,04TB
Christelijke Basisschool de Haven,10RO
christelijke basisschool De Hien,07ZB
Christelijke Basisschool de Hoeksteen,13NG
Christelijke Basisschool De Hoeksteen,17LQ
Christelijke Basisschool De Hoeksteen,03WN
Christelijke Basisschool De Hoeksteen,07ZP
Christelijke Basisschool De Hoeksteen,04MY
Christelijke Basisschool De Hoeksteen,07LZ
Christelijke Basisschool de Hoekstien,11MB
Christelijke Basisschool De Holtbanck,04SL
Christelijke Basisschool de Horizon,15AL
Christelijke Basisschool De Ikker,06QO
Christelijke Basisschool De Klaroen,10MX
Christelijke Basisschool De Klimop,05QO
Christelijke Basisschool De Korenaar,05RV
Christelijke Basisschool De Leiboom,09KG
Christelijke Basisschool De Librije,06IU
Christelijke Basisschool De Lichtboei,09CS
Christelijke Basisschool de Linge,10ZS
Christelijke Basisschool De Mandebrink,05MA
Christelijke Basisschool De Meander,08BL
Christelijke Basisschool De Morgenster,13MV
Christelijke Basisschool De Ontmoeting,17YO
Christelijke Basisschool De Opdracht,03XI
Christelijke Basisschool de Ouverture,10RA
Christelijke Basisschool De Paadwizer,05YL
Christelijke Basisschool de Paasberg,10ZT
Christelijke Basisschool de Paedwizer,14ZZ
Christelijke Basisschool De Parel,05XB
Christelijke Basisschool de Parel,10YW
Christelijke Basisschool De Pionier,12WY
Christelijke Basisschool De Polle,13TK
Christelijke Basisschool De Rank,04KY
Christelijke Basisschool De Rank,05UO
Christelijke Basisschool De Rank,05UG
Christelijke Basisschool De Rank,04FF
Christelijke Basisschool De Regenboog,04PP
Christelijke Basisschool De Regenboog,06MW
Christelijke Basisschool De Regenboog,09SX
Christelijke Basisschool De Regenboog,07XL
Christelijke Basisschool De Regenboog,07YY
Christelijke Basisschool De Regenboog,07XI
Christelijke Basisschool De Reinboge,08PH
Christelijke Basisschool De Reinbôge,03IB
Christelijke Basisschool De Reinbôge,08OD
Christelijke Basisschool de Roerganger,17MI
Christelijke Basisschool De Roerganger,08CX
Christelijke Basisschool de Schutse,06ZY
Christelijke Basisschool De Slagkrooie,07WO
Christelijke Basisschool De Spoarsiker,07YA
Christelijke basisschool De Spoorzoeker,06EF
Christelijke Basisschool De Sprankel,05NM
Christelijke Basisschool De Springplank,04OA
Christelijke Basisschool de Springplanke,15BP
Christelijke Basisschool De Ster,05OZ
Christelijke Basisschool De Stifthorst,08AK
Christelijke Basisschool De Tarissing,06SN
Christelijke Basisschool De Til,08AZ
Christelijke Basisschool de Triangel,10HK
Christelijke Basisschool De Trieme,05PX
Christelijke Basisschool De Vijverhof,10NH
Christelijke Basisschool De Violier,19LW
Christelijke Basisschool De Vliermeent,17VA
Christelijke Basisschool De Vliet,06RY
Christelijke Basisschool de Vlucht,23PP
Christelijke Basisschool De Voorde,16DW
Christelijke Basisschool De Vuurvlinder,13KW
Christelijke Basisschool De Wegwijzer,07OX
Christelijke Basisschool De Wegwijzer,05MH
Christelijke Basisschool de Wegwijzer,11RD
Christelijke Basisschool de Wegwijzer,13DD
Christelijke Basisschool De Wel,04VK
Christelijke Basisschool De Wel,06TC
Christelijke Basisschool De Wieken,09JB
Christelijke Basisschool De Wiekslag,05MM
Christelijke Basisschool De Wijnroas,10BP
Christelijke Basisschool De Wijzer,05LV
Christelijke Basisschool De Winde,05OW
Christelijke Basisschool De Wingerd,09UK
Christelijke Basisschool De Wrâldpoarte,09BV
Christelijke Basisschool De Wynroas,05NJ
Christelijke Basisschool De Zevensprong,05RZ
Christelijke Basisschool DOK 19,20HK
Christelijke Basisschool Eben Haezer,13IE
Christelijke Basisschool Eben Haezer,03HY
Christelijke Basisschool Eben Haezer,06WN
Christelijke Basisschool Eben Haezer,06SZ
Christelijke Basisschool Eltheto,12ZN
Christelijke Basisschool Het Anker,15UV
Christelijke Basisschool Het Anker,07YW
Christelijke Basisschool Het Galjoen,08NW
Christelijke Basisschool Het Kompas,06ZH
Christelijke Basisschool Het Kompas,03IW
Christelijke Basisschool Het Kompas,04JJ
Christelijke Basisschool Het Kompas,12FY
Christelijke Basisschool Het Mosterdzaadje,05OK
Christelijke Basisschool Het Mozaiek,14FM
Christelijke Basisschool Het Samenspel,05UX
Christelijke Basisschool Het Sterrenlicht,09YH
Christelijke Basisschool Het Talent,09CB
Christelijke Basisschool Het Waterschip,08VN
Christelijke Basisschool In De Kring,09LK
Christelijke Basisschool It Fundamint,05OU
Christelijke Basisschool It Fûnemint,05UY
Christelijke Basisschool It Harspit,06JW
Christelijke Basisschool Juliana,11RJ
Christelijke Basisschool Kleurenpracht,15XF
Christelijke Basisschool Klim Op,11FL
Christelijke Basisschool Klingelenburg,08BC
Christelijke Basisschool Koning Willem-Alexander,03KP
Christelijke Basisschool Koningin Wilhelmina,07IZ
Christelijke Basisschool Mons Sinai,05PH
Christelijke Basisschool Nederwoud,07ZT
Christelijke Basisschool Nijdjip,04MS
Christelijke Basisschool Op 'e Hichte,07IJ
Christelijke Basisschool Op Dreef,07XS
Christelijke Basisschool op Gereformeerde Grondslag,07ZJ
Christelijke Basisschool Op Streek,07ME
Christelijke Basisschool Oranje Nassau,07WY
Christelijke Basisschool Oranje Nassau,06RA
Christelijke Basisschool Paadwizer,05XI
Christelijke Basisschool Prins Bernhard,10QQ
Christelijke Basisschool Prins Willem Alexander,08BD
Christelijke Basisschool Prinses Maxima,28CK
Christelijke Basisschool Rehoboth,05NY
Christelijke Basisschool Rehoboth,13PK
Christelijke Basisschool Rehoboth,07KD
Christelijke Basisschool Rehoboth,09YS
Christelijke Basisschool Rembrandt,15FT
Christelijke Basisschool Roemte,07ZS
Christelijke Basisschool Samen Op Weg,04MB
Christelijke Basisschool Sjaloom,05TZ
Christelijke Basisschool Spring!,17JL
Christelijke Basisschool T Klinket,17JN
Christelijke Basisschool Tamarinde,16DY
Christelijke Basisschool TOV,12PA
Christelijke Basisschool Vesterhavet,11ZW
Christelijke Basisschool Wij-land,05UN
Christelijke Basisschool Wilhelmina,08US
Christelijke Basisschool Willem Alexander,05MI
Christelijke Basisschool Willem van Oranje,16YU
Christelijke Basisschool Wrâldwizer,07JQ
Christelijke Constantijnschool,09SQ
Christelijke Dominee Cazemierschool,09YI
Christelijke Jenaplanschool Pierson,09TH
Christelijke Montessorischool De Abeel,04NS
Christelijke Nationale Basisschool De Bron,03RZ
Christelijke Nationale Basisschool De Regenboog,07XY
Christelijke Nationale Basisschool De Wegwijzer,05TF
Christelijke Nationale Basisschool Het Kompas,06NY
Christelijke Nationale Basisschool J.C. van der Wal,12JL
Christelijke Nationale Basisschool Warin,08KP
Christelijke Nationale School,05VA
Christelijke Nationale School De Bijenschans,07XQ
Christelijke Nationale School De Groenling,06HD
Christelijke Nationale School De Kievitsheuvel,05PJ
Christelijke Nationale School Ommerkanaal,04PF
Christelijke Nationale School voor Basisonderwijs,03ML
Christelijke Nationale School voor Basisonderwijs Zomerland,07NZ
Christelijke Nationale School Windesheim,07KT
Christelijke Opleidingsschool,07LT
Christelijke Scholengemeenschap A.M. van Schurman voor Havo Mavo Vbo,14NS
Christelijke Scholengemeenschap Bogerman voor Lyceum Havo Mavo Vbo Lwoo,25CR
Christelijke Scholengemeenschap De Goudse Waarden Lyc Havo Mavo Vbo Lwoo Pro,14SF
Christelijke Scholengemeenschap De Lage Waard voor Ath Havo Mavo Vbo Lwoo,16QA
Christelijke Scholengemeenschap Dingstede voor Mavo Havo en Atheneum,03XM
Christelijke Scholengemeenschap Groningen Vmbo Havo Atheneum,14RP
Christelijke Scholengemeenschap Liudger voor Lyceum Havo Mavo Vbo Lwoo Pro,25CM
Christelijke Scholengemeenschap voor Atheneum Havo Mavo Willem De Zwijger,05TA
Christelijke Scholengemeenschap voor Mavo en Vbo Eekeringe,23WU
Christelijke Scholengemeenschap voor Vwo Havo Mavo Vmbo Pro Lwoo Prins Maurits,03RB
Christelijke Scholengemeenschap Willem van Oranje voor ATH HAVO MAVO,08VU
Christelijke School voor Basisonderwijs Drakensteyn,10MI
Christelijke School voor Primair Onderwijs De Regenboog,07ZY
Christelijkeschool voor praktijkonderwijs De Bolster,05OP
Christelyke Basisschool de Frissel,10YS
Christelyke Basisschool De Lichtbron,11MA
Christiaan Huygens College voor Lyceum Havo Mavo Vbo Lwoo,02TC
Christophoor,17ES
Citadel College voor vwo havo mavo vbo en lwoo,30AU
CJS De Kring,08VG
CKC De Rietzanger,31LD
CKC Het Talent,23PN
Cluster HIN,07CF
CNS De Nieuwe Weg,07JU
CNS De Regenboog,09CY
CNS-basisschool Cavaljé,05NO
CNS-basisschool de Brugge,23PT
CNS-basisschool de Caleidoscoop,11CT
CNS-basisschool de Ontdekking,13KG
CNS-basisschool de Plataan,10QL
CNS-basisschool de Vlinderboom,23PU
CNS-basisschool de Vuursteen,30JU
CNS-basisschool het Startpunt,12JT
CNS-basisschool Koningin Beatrix,12AM
CNS-basisschool Louise de Coligny,12YY
CNS-basisschool Prins Floris,11PJ
CNS-basisschool Wilhelmina,11FA
Coenecoop College voor Atheneum Havo Mavo Voorbereidend Beroeps Onderwijs,00BD
College de Heemlanden School voor havo en atheneum,22NE
College Den Hulster Scholengemeenschap voor ATH HAVO MAVO VBO LWOO,16XD
Columbusschool,30AJ
"Comenius Chr. Scholengrp v. vwo havo mavo vbo lwoo, vest. Capell a/d IJssel",19GY
Comenius Christelijke Scholengemeenschap voor Atheneum Havo Vmbo Lwoo Pro,02VC
Comeniusschool voor Basisonderwijs,11NU
Commanderij College voor gymnasium atheneum havo vmbo  en praktijkonderwijs,25MG
Compagnonsschool,15PW
Compass College voor Atheneum Havo en Mavo,18DO
Confetti,29XV
Connect College voor vwo havo mavo vbo en lwoo,16PE
Coornhert Gymnasium,20AI
Coornhertlyc Gem Scholengemeenschap Lyceum Havo Mavo,20RF
Corantijn,19AZ
Corlaer College,02DC
Cornelis Musiusschool,13KK
Cornelis Vrijschool voor Basisonderwijs,05VP
"Cornelius Haga Lyceum, Islamitische Scholengemeenschap voor mavo havo en vwo",31GM
Cortemich Brede School Voerendaal,05JV
Crayenester-Basisschool,10AR
Crescendo,24ZK
Cunera-School voor Basisonderwijs,07VM
Curio,21CY
Curio,25LX
Curio praktijkschool Breda,15NY
Curio vmbo,02HI
"Curio VO, locatie prinsentuin van cooth vmbo",19XV
Curtevenne-Basisschool,06BO
CVO 't Gooi  voor Lyc Havo VMBO Lwoo,03FO
D W van Dam van Brakelschool,06BX
Da Costa Basisschool,19TK
Da Costa Basisschool Hoograven,18AC
Da Costa School Christelijke Basisonderwijs,17TD
Da Costaschool,09BO
Da Costaschool v BSO,13YZ
Da Vinci College Openbare Scholengemeenschap voor ATH HAVO MAVO VBO LWOO,20DF
"Da Vinci College School voor mavo/havo, havo, vwo, tweetalig ond. en technasium",01EO
Daalhuizen,13QE
DaCapo College locatie Havikstraat voor Mavo Vbo Lwoo,02IB
DaCapo-College Einighauserweg,05GV
Dalton Basisschool de Oosterbrink,13BL
Dalton Den Haag gymnasium atheneum havo,20MF
Dalton IKC Plechelmus,17RC
Dalton KC Helen Parkhurst,17FE
Dalton Kindcentrum AvontuurRijk,09VU
Dalton Kindcentrum De IJsbreker,30GF
Dalton Kindcentrum De Vaart,05TN
Dalton Kindcentrum De Wereldweide,03EH
Dalton Kindcentrum De Wingerd,06HZ
Dalton Kindcentrum het P@rk,13QS
Dalton Kindcentrum Jan Ligthart,20FE
Dalton Kindcentrum Jonglaren,10YQ
Dalton Kindcentrum Wereldwijs,13BI
Dalton Kindcentrum ’t Kompas,05OC
Dalton Kindcentruml Dommeldal,08XS
Dalton Scholengemeenschap Spinozalyceum voor Vwo Havo Mavo,21BH
Daltonbasisschool Jacobus,07MN
Daltonschool 't Hazzeleger,04HU
Daltonschool Columbus,12BF
Daltonschool De Blinker,04GD
Daltonschool De Diamant,03WL
Daltonschool De Evenaar,05IM
Daltonschool De Kogge,08FX
Daltonschool de Polderhof,11QU
Daltonschool de Rank,27YB
Daltonschool De Schatkamer,12IX
Daltonschool De Vindplaats,12PU
Daltonschool de Vliegers,23CB
Daltonschool Ees,12TV
Daltonschool Hillegom,18HR
Daltonschool i.o. de Morgenzon,12OX
Daltonschool Katwijk,20BW
Daltonschool Klaverweide,09ZQ
Daltonschool Nicolaas,03SN
Daltonschool Oegstgeest,10VK
Daltonschool Reggewijs,18LF
Daltonschool Reggewinde,08TJ
Daltonschool Rijnsweerd,17ON
Daltonschool Sint Jozef,06QK
Daltonschool Sint Jozef,13HT
Daltonschool St Joris,04WL
Daltonschool Wilhelmina,04VW
Daltonschool Willibrordus,06KK
Daniëlschool,23WR
De 7 - Sprong,08NL
De Aanloop,18TP
De Achtbaan,12BI
De Achtbaan,17ZP
De Adelaar,11HN
De Akker,10QP
De Akker,11TI
De Akker,30VC
De Akker,07MH
De Akkerbloem,05CZ
De Akkers,18BJ
De Akkers,18TM
De Albatros,16HL
De Albatros,18YS
De Amstel,30UP
De Amsterdamse Mavo & Havo,31BL
De Aquamarijn Waldorfonderwijs,06YJ
De Aquarel,13YV
De Arabesk,27XC
De Archipel,29XF
De Ark,09TW
De Ark,10HN
De Ark,13TP
De Ark,25KJ
De Arnhorst,19AB
De Atlas,13AO
De Aventurijn,12KS
De Aventurijn,15NS
De Baanbreker,17NF
"De Baanbreker, school voor praktijkonderwijs",07BM
De Baander,03SX
De Bakelgeert,08XM
De Balein (Basisschool De Balein),05DH
De Balkwar,12IS
De Baptist,04SN
De Bargeweide,07LC
De Barkentijn,20FK
De Baskuul,11VV
De Bataaf,28CH
De Bavokring,17TU
De Bem,30FM
De Bente Openbare Basisschool,17AE
De Bergpadschool,06XX
De Bergse Zonnebloem,17LO
De Biezenkamp,03RL
De Bijenkorf,17UA
De Binckhorst-St. Jan,04ZM
De Blauwe Lijn,18TV
De Blauwe Morgenster,10VP
De Blauwe Ster,07SC
De Blinker Basisschool,18JU
De Blinkerd,10NA
De Bloeiende Betuwe,18RK
De Bloeiende Perelaar,09IQ
De Boeier,16GB
De Boemerang,17PA
De Bolder,15UB
De Bolster,11DH
De Bongerd,13SQ
De Bongerd,12ZQ
De Bonte Boomhut,32CL
De Bonte Pael,14IX
De Boog,12DY
De Boog Christelijk School voor Prak Vorm,15DN
De Boogerd,08HM
"De Boomhut, openbare basisschool",19OE
De Borchstee,21NK
De Boschuil,24AC
De Bosweide,13RB
De Botter,13YO
De Boustien,07JE
De Branding,15FL
De Brege,15ZX
De Brink,16YM
De Bron,22JQ
De Bron,11FD
De Bron,09YR
De Bron,09TB
De Bron,13CY
De Bron,04PJ
De Bron,13ES
"De Bron, basisschool bij de Bijbel",06NZ
De Brug,11XM
De Brug School voor Praktijkonderwijs,26LU
De Bruinvis,18VC
De Buikslotermeer,20ZB
De Bundeling,00DN
De Bunder,14CA
De Bunders,12FU
De Bundertjes,10CH
De Burcht,30PW
De Calvijnschool,07PE
De Capelse Schoolvereniging,04FM
De Carrousel,13BF
De Carrousel,04FB
De Casembroot-School,18TS
De Catamaran,15HR
De Catamaran,18WX
De Ceder,11JX
De Cirkel,10WT
De Clipper,19BE
De Clockeslach,12CN
De Cocon,06IA
De Compagnie Praktijkonderwijs Sevenwolden,26KP
De Contrabas,16HC
De Coppele,12WM
De Dadelpalm,32AT
De Damiaanschool,20IN
De Diamant Basisschool,10EW
De Dijk,14DS
De Diken,04FR
De Drentse Hoek,19NT
De Drie Linden,04ZT
De Driebond,17RS
De Driehoek,18ZW
De Driemaster,16MD
De Driesprong,13JL
De Driewerf,03BA
De Droomspiegel,29UB
De Duinstee,11HH
De Dukdalf,15UO
De Dukendonck,11IP
De Eendragt,12NG
De Eglantier Buiten,15PZ
De Eiber,06WZ
De Eigen Wijs,31FM
De Esch,12TE
De Evenaar,22LZ
De Expeditie,19WE
De Expeditie,07QB
De Faam voor Praktijkonderwijs,26JZ
De Feart,15KU
De Feniks,30UY
De Finne,15AV
De Finnjol,16NU
de Fonkelsteen,27UZ
De Fontein,09BK
De Fontein,12WE
De Fontein,07MB
De Fontein,08WC
De Fontein,07KJ
De Fontein,08AO
De Fontein School voor Christelijk Basisonderwijs,11MP
De Franciscus,06IL
De Frije Fûgel,18NF
De Gantel,26AZ
De Garve,04WS
De Gazelle,29XJ
De Glundering,07EG
De Goede Herder,09PD
De Golfbreker,08YN
De Golfslag,11EO
De Golfslag,03CT
De Gondelier,27NY
De Gooische Montessorischool,09JV
De Gooische School,04MN
De Gooise Daltonschool,19MW
De Gouden Griffel,18VR
"De Goudse Scholengemeenschap voor VMBO-TL, HAVO en VWO Leo Vroman",13WH
De Gouwaert,13GW
De Grasspriet,09XP
De Griffioen,18VI
De Groene Hoek,12ZA
De Groene Parel,13CI
De Groene Wereld,03GL
De Groene Wereld Nieuwkomers,06XO
De Grosthuizer Basisschool,13BR
De Grote Beer,08GE
De Grote Reis,31MF
De Grundel,16KA
De Halm,00FE
De Handreiking,18BN
De Harlekijn,00CG
De Harlekijn,20GP
De Harpoen,18EP
De Heemde,17MM
De Heerdstee,18PC
De Hervormde School,05RW
De Hobbit,12MR
De Hobbitburcht,15ED
De Hobbitburcht - Spectrum,14DU
De Hobbitstee,08YE
De Hoeksteen,31WJ
De Hoeksteen,18HL
De Hoeksteen,08YO
De Hoeksteen,04YQ
De Hoeksteen,03RD
De Hoeksteen,11QH
De Hoeksteen,13KD
De Hoge Akker,05BH
De Hoogvlieger,21KE
De Horizon,05FH
De Horizon,17SL
De Horizon,04JR
De Horizon Christelijke School voor Basisonderwijs,17ZZ
De Horn,23DF
De Hunenborg,17QN
De Ichthus,09UQ
De Indische Buurt School,20ZG
De Irisschool,13EC
de Jacobsvlinder,15RM
De Jenapleinschool,15XK
De Kaleidoskoop,17QH
De Kameleon,13XP
De Kameleon,18BK
De Kameleon,07RG
De Kameleon,20IZ
De Kameleon,19MP
De Kameleon,18GY
De Kameleon Christelijke Basisschool,13IK
De Kap,12GW
De Kardoen,12OZ
De Kas,15XO
De Keerkring,14MX
De Keerkring,12MS
De Keerkring,18UQ
De Keijenberg,05IU
De Kerkewei,05EP
De Kernschool,19AG
De Kersenboom,31RN
De Kimme,17PV
De Klaeter,15KW
De Kleine Kapitein,21DA
De Kleine Kapitein,27YK
De Kleine Keizer,17EK
De Kleine Planeet,15SM
De Kleine Prins,24NZ
De Kleine Vliegenier,17XB
De Kleine Wereld,29XC
De Kleine Wereld,18BM
De Kleine Wereld,19QD
De Klepper,18MX
De Klimboom,27UA
De Klimboom,17JV
De Klimop,19MH
De Klimop,16JC
De Klimophoeve,16EL
De Klimroos,09FX
De Klinker,17LU
De Klinker,31WP
De Kluft,13XF
De Knotwilg,13BY
De Koningslinde,12AC
De Koningslinde,31GX
De Korenaar,17QL
De Korf,12VC
De Kraal,20ZH
De Kralingsche School voor Basisonderwijs,05WM
De Kranepoort,10EC
De Kriekenhof,12AH
De Krullevaar,16GQ
De Krullevaar,27CR
De Kubus,16NR
De Kubus,19MN
De Kubus,32EP
De Kwakel,15JV
De Kwinkslag,07RJ
De La Reyschool,19SI
De Lamer,14MO
De Langewieke,03UJ
De Lappendeken,14GV
De Leemstee,10PS
De Leest,31WN
De Leeuwerik,11QN
De Leeuwerik,06SK
De Lepelaar,16CA
De Lettertuin,18WV
De Levensbron,11FE
De Lichtlijn,07LP
De Lichtstraat,08HD
De Lichtwijzer,06KU
De Liereling,11CD
De Linde,18JB
De Linde,15BU
De Lindenhoeve,10MR
De Linderte,24MB
De Lindt,22KK
De Linebeam,16AY
De Lingelaar,19WG
De LinQ,09BH
De Lispeltuut,27TZ
De Lispeltuut,31ET
De Maasoever,23CK
De Magneet,14MK
De Mare,18SV
De Margriet,14JR
de Marke,27NR
De Maten,10KP
De Meander,16IV
De Meander,11FO
De Meander,15LV
De Meer,12KZ
De Meerhoef,10HD
De Meerkoet,18FN
De Meerwaarde,01MU
De Meerwaarde Praktijkonderwijs,02FO
De Menorah,08JV
De Meridiaan,18UY
De Mheyster,09LU
de Mispelbloem,27LJ
De Molenkreek,10FX
De Molenwiek Dalton,16WT
De Morgenster,15XE
De Morgenster,07MJ
De Morgenster,13PP
De Morgenster,10QR
De Morgenster,09ZD
De Morgenster,05QD
De Morgenster,00AV
De Morgenster Gereformeerde Basisschool,23RL
De Morskring,14MM
De Nassau Scholengemeenschap voor Gymn Ath Havo Mavo,16QH
De Nieuwe Draai,31VN
De Nieuwe Maan,31WB
De Nieuwe School Basisschool,07DM
De Nieuwe Wiel,07KH
De Nieuwste School voor vwo havo mavo,31LW
De Noorderborch,21CX
De Noorderkroon,24PE
De Noorderstroom,32EK
De Noordhoek,26MP
De Noordwijkse School,28DA
De Notenkraker,19DQ
De Oase,04VN
De Oase,30GY
De Oceaan,30AH
De Odyssee,30VB
De Olijfboom,06GU
De Olijfboom,11RO
De Olijfboom,18HG
De Omnibus,26AC
De Omnibus,15JI
De ondernemende school Westland,32HY
De Ontdekking,27YN
De Ontdekking,06PP
De Ontdekking Openbare basisschool Maarheeze,09ET
De Ontdekking PC Jenaplanschool,17CJ
De Ontdekkingsreis,29XZ
De Ontluiking,06KY
De Oosthoek,16DB
De Open Poort-School School met de Bijbel,04OC
De Openbare Dalton Basisschool De Zeppelin,26AE
De OpStap,13LB
De Optimist,27AA
De Optimist,14BO
De Optimist,07LI
De Oude Vaart,13NZ
De Overhael,08IW
De Parachute,13AR
De Parel,09XA
De Parel,03HH
De Parelburcht,10XE
De Parkschool,19OY
"de Passie Evangelische School voor Vmbo-tl, Havo, Atheneum, Gymnasium",27RW
"de Passie, Evangelische school voor Vmbo-tl, Havo, Vwo",29WG
"de Passie, Evangelische School voor Vmbo-tl, Havo, Vwo",27DG
De Pauw,32CJ
De Peelparel,09MK
De Pendinghe,16UG
De Petteflet,30VA
De Phoenix,12LQ
De Phoenix,11SY
De Pijler,10YI
De Pijler,24NX
De Pijler school voor praktijk onderwijs,26JY
De Pijlstaart,18ET
De Pionier,31GH
De Pionier,15HV
De Pionier,12AY
De Pionier,17RL
De Piramide,14HR
De PIT Groningen,31TJ
De Planthof,03KT
De Plataan,10WF
De Plataan,19CF
De Ploeg,17QQ
De Plotter,23EE
De Poeljeugd,03GJ
De Polle,18RV
De Poolster,16ZC
De Poolster,20ZD
De Poolster,15MH
De Poort Montessori Basisschool,24EE
